"Subj"	"run"	"cond"	"rew"	"cue"	"group"	"sex"	"acc_diff"	"rt_diff"
2	1	1	1	2	1	2	12.5	-143.571428571429
4	1	1	1	2	1	2	6.25	-101.2
5	1	1	1	2	1	2	20	46.5
6	1	1	1	2	1	2	0	-122.625
7	1	1	1	2	1	2	7.14285714285714	-32.5769230769231
11	1	1	1	2	0	2	12.5	-256.767857142857
12	1	1	1	2	1	1	25	-13.4166666666667
13	1	1	1	2	1	2	-12.5	-9.54761904761904
15	1	1	1	2	0	2	-2.85714285714286	104.916666666667
16	1	1	1	2	1	2	6.25	-208.5
18	1	1	1	2	0	2	31.25	-38.0454545454545
21	1	1	1	2	1	2	25	-81.5416666666667
23	1	1	1	2	0	1	16.6666666666667	155.1
24	1	1	1	2	1	2	-6.25	-139.52380952381
25	1	1	1	2	0	2	12.5	-39.2857142857142
27	1	1	1	2	1	2	6.25	-210.25
29	1	1	1	2	0	1	0	-62.6875
30	1	1	1	2	0	2	0	-115
33	1	1	1	2	1	1	12.5	-180.839285714286
35	1	1	1	2	0	2	30.7692307692308	54.4722222222222
38	1	1	1	2	1	1	-12.5	-65.6160714285713
40	1	1	1	2	1	1	-8.03571428571429	-288.866666666667
41	1	1	1	2	1	2	26.6666666666667	-143.818181818182
43	1	1	1	2	0	2	0	-58.25
44	1	1	1	2	1	2	0	-221.75
45	1	1	1	2	0	1	0	-187.8125
46	1	1	1	2	1	1	6.25	-239.648351648352
47	1	1	1	2	0	2	25	77.6666666666667
48	1	1	1	2	0	2	25	-164.708333333333
49	1	1	1	2	0	1	18.75	-225
50	1	1	1	2	0	2	-16.6666666666667	-311.25
51	1	1	1	2	0	1	12.5	-333.767857142857
60	1	1	1	2	0	1	0	-276.375
61	1	1	1	2	1	1	33.3333333333333	-68.6500000000001
62	1	1	1	2	0	1	33.3333333333333	43.8499999999999
63	1	1	1	2	1	1	0	-165.576923076923
64	1	1	1	2	0	1	6.25	19.5111111111112
