"Subj" "cond" "rew" "cue" "group" "acc"
2 1 1 2 1 87.5
4 1 1 2 1 93.75
5 1 1 2 1 80
6 1 1 2 1 100
7 1 1 2 1 92.8571428571429
11 1 1 2 0 87.5
12 1 1 2 1 75
13 1 1 2 1 87.5
15 1 1 2 0 60
16 1 1 2 1 93.75
18 1 1 2 0 68.75
21 1 1 2 1 75
23 1 1 2 0 33.3333333333333
24 1 1 2 1 93.75
25 1 1 2 0 87.5
27 1 1 2 1 93.75
29 1 1 2 0 100
30 1 1 2 0 75
33 1 1 2 1 87.5
35 1 1 2 0 69.2307692307692
38 1 1 2 1 100
40 1 1 2 1 93.75
41 1 1 2 1 73.3333333333333
43 1 1 2 0 100
44 1 1 2 1 100
45 1 1 2 0 100
46 1 1 2 1 81.25
47 1 1 2 0 75
48 1 1 2 0 50
49 1 1 2 0 81.25
50 1 1 2 0 66.6666666666667
51 1 1 2 0 87.5
60 1 1 2 0 100
61 1 1 2 1 66.6666666666667
62 1 1 2 0 66.6666666666667
63 1 1 2 1 100
64 1 1 2 0 56.25
65 1 1 2 1 100
66 1 1 2 1 68.75
67 1 1 2 0 81.25
68 1 1 2 0 81.25
70 1 1 2 0 86.6666666666667
71 1 1 2 0 43.75
72 1 1 2 1 87.5
73 1 1 2 0 50
74 1 1 2 1 66.6666666666667
75 1 1 2 0 62.5
77 1 1 2 1 80
78 1 1 2 1 56.25
79 1 1 2 1 93.3333333333333
81 1 1 2 0 100
2 2 1 1 1 87.5
4 2 1 1 1 100
5 2 1 1 1 87.5
6 2 1 1 1 87.5
7 2 1 1 1 100
11 2 1 1 0 87.5
12 2 1 1 1 100
13 2 1 1 1 75
15 2 1 1 0 71.4285714285714
16 2 1 1 1 75
18 2 1 1 0 62.5
21 2 1 1 1 87.5
23 2 1 1 0 50
24 2 1 1 1 87.5
25 2 1 1 0 87.5
27 2 1 1 1 87.5
29 2 1 1 0 100
30 2 1 1 0 87.5
33 2 1 1 1 100
35 2 1 1 0 66.6666666666667
38 2 1 1 1 85.7142857142857
40 2 1 1 1 100
