"Subj" "cond" "run" "rew" "cue" "acc_diff" "rt_diff"
0 1 1 1 1 25 145.916666666667
1 1 1 1 1 29.1666666666667 -26.4705882352941
2 1 1 1 1 -8.33333333333334 -1.62352941176459
3 1 1 1 1 40 22.8194444444443
4 1 1 1 1 41.6666666666667 -83.1428571428571
6 1 1 1 1 4.16666666666666 51.25
7 1 1 1 1 8.33333333333334 -22.465909090909
8 1 1 1 1 13.0434782608696 -84.05
9 1 1 1 1 4.16666666666666 -15.4130434782608
11 1 1 1 1 16.6666666666667 -122.142857142857
13 1 1 1 1 16.6666666666667 43.475
14 1 1 1 1 0 -184
15 1 1 1 1 35.3260869565217 111.202380952381
17 1 1 1 1 0 16
18 1 1 1 1 0 -152.5
20 1 1 1 1 2.17391304347826 104.5
21 1 1 1 1 3.57142857142857 -340.233333333333
24 1 1 1 1 8.33333333333334 -188.477272727273
26 1 1 1 1 16.6666666666667 -166.44537815126
27 1 1 1 1 0 -167.916666666667
28 1 1 1 1 12.5 -19.9821428571429
29 1 1 1 1 20.8333333333333 -7.76315789473688
30 1 1 1 1 20.8333333333333 -75.3684210526317
31 1 1 1 1 8.33333333333334 -132.193181818182
32 1 1 1 1 0 33.3888888888889
33 1 1 1 1 20.8333333333333 45.6315789473683
34 1 1 1 1 12.5 -118.833333333333
35 1 1 1 1 21.7391304347826 -54.7638888888889
36 1 1 1 1 20.8333333333333 -120.118421052632
37 1 1 1 1 37.5 -42.4083333333333
0 1 2 1 1 25 48.4166666666667
1 1 2 1 1 29.1666666666667 -74.9705882352941
2 1 2 1 1 4.16666666666666 7.17647058823536
3 1 2 1 1 27.5 -41.5555555555557
4 1 2 1 1 41.6666666666667 -72.2678571428571
6 1 2 1 1 4.16666666666666 -15.25
7 1 2 1 1 8.33333333333334 -106.465909090909
8 1 2 1 1 13.0434782608696 -192.3
9 1 2 1 1 4.16666666666666 -139.913043478261
11 1 2 1 1 41.6666666666667 -301.392857142857
