"Subj" "cond" "rew" "cue" "acc"
0 1 1 2 75
1 1 1 2 70.8333333333333
2 1 1 2 70.8333333333333
3 1 1 2 60
4 1 1 2 58.3333333333333
6 1 1 2 95.8333333333333
7 1 1 2 91.6666666666667
8 1 1 2 86.9565217391304
9 1 1 2 95.8333333333333
11 1 1 2 58.3333333333333
13 1 1 2 83.3333333333333
14 1 1 2 100
15 1 1 2 52.1739130434783
17 1 1 2 75
18 1 1 2 100
20 1 1 2 47.8260869565217
21 1 1 2 71.4285714285714
24 1 1 2 91.6666666666667
26 1 1 2 70.8333333333333
27 1 1 2 100
28 1 1 2 87.5
29 1 1 2 79.1666666666667
30 1 1 2 79.1666666666667
31 1 1 2 91.6666666666667
32 1 1 2 75
33 1 1 2 79.1666666666667
34 1 1 2 62.5
35 1 1 2 78.2608695652174
36 1 1 2 79.1666666666667
37 1 1 2 62.5
0 2 1 1 75
1 2 1 1 75
2 2 1 1 80
3 2 1 1 75
4 2 1 1 75
6 2 1 1 83.3333333333333
7 2 1 1 100
8 2 1 1 66.6666666666667
9 2 1 1 83.3333333333333
11 2 1 1 66.6666666666667
13 2 1 1 100
14 2 1 1 63.6363636363636
15 2 1 1 58.3333333333333
17 2 1 1 83.3333333333333
18 2 1 1 66.6666666666667
20 2 1 1 50
21 2 1 1 72.7272727272727
24 2 1 1 100
26 2 1 1 81.8181818181818
27 2 1 1 100
28 2 1 1 83.3333333333333
29 2 1 1 58.3333333333333
30 2 1 1 66.6666666666667
31 2 1 1 100
32 2 1 1 83.3333333333333
33 2 1 1 100
34 2 1 1 83.3333333333333
35 2 1 1 91.6666666666667
36 2 1 1 58.3333333333333
37 2 1 1 100
0 3 0 2 100
1 3 0 2 100
2 3 0 2 80
3 3 0 2 94.4444444444444
4 3 0 2 100
6 3 0 2 95.8333333333333
7 3 0 2 95.8333333333333
8 3 0 2 95.8333333333333
9 3 0 2 95.8333333333333
11 3 0 2 79.1666666666667
13 3 0 2 79.1666666666667
14 3 0 2 83.3333333333333
15 3 0 2 83.3333333333333
17 3 0 2 54.1666666666667
18 3 0 2 100
20 3 0 2 50
21 3 0 2 78.2608695652174
24 3 0 2 100
26 3 0 2 78.2608695652174
27 3 0 2 95.8333333333333
28 3 0 2 95.8333333333333
29 3 0 2 100
30 3 0 2 87.5
31 3 0 2 100
32 3 0 2 72.7272727272727
33 3 0 2 95.8333333333333
34 3 0 2 83.3333333333333
35 3 0 2 82.6086956521739
36 3 0 2 91.6666666666667
37 3 0 2 70.8333333333333
0 4 0 1 91.6666666666667
1 4 0 1 100
2 4 0 1 60
3 4 0 1 87.5
4 4 0 1 100
6 4 0 1 66.6666666666667
7 4 0 1 90
8 4 0 1 100
9 4 0 1 100
11 4 0 1 75
13 4 0 1 91.6666666666667
14 4 0 1 75
15 4 0 1 66.6666666666667
17 4 0 1 66.6666666666667
18 4 0 1 91.6666666666667
20 4 0 1 54.5454545454545
21 4 0 1 91.6666666666667
24 4 0 1 75
26 4 0 1 72.7272727272727
27 4 0 1 100
28 4 0 1 91.6666666666667
29 4 0 1 100
30 4 0 1 91.6666666666667
31 4 0 1 100
32 4 0 1 91.6666666666667
33 4 0 1 83.3333333333333
34 4 0 1 75
35 4 0 1 91.6666666666667
36 4 0 1 100
37 4 0 1 58.3333333333333
