"sweet" "savory" "air"
"0" 7.55333333333333 7.27333333333333 0.506666666666667
"1" 9.7 6.78666666666667 0.0266666666666667
"2" 6.10666666666667 5 1.18666666666667
"3" 7.82 4.32666666666667 1.93333333333333
"4" 8.29333333333333 3.62666666666667 0.313333333333333
"6" 9.32666666666667 8.06666666666667 0.293333333333333
"7" 5.21333333333333 5.54 0.0666666666666667
"8" 6.54666666666667 5.52666666666667 0.02
"9" 6.38666666666667 5.08 0
"11" 10 0.2 0.826666666666667
"13" 8.44 7.48 0.126666666666667
"14" 3.65333333333333 7.12 0.88
"15" 4.21333333333333 4.98 0.773333333333333
"17" 4.09333333333333 2.64666666666667 0.04
"18" 5.15333333333333 4.28666666666667 0.0666666666666667
"20" 5.38666666666667 4.94666666666667 2.66666666666667
"21" 7.02 6.08666666666667 0.613333333333333
"24" 6.46 4.75333333333333 0.886666666666667
"26" 8.77333333333333 5.54666666666667 0
"27" 7.81333333333333 8.92 0.0133333333333333
"28" 4.08666666666667 4.81333333333333 0.02
"29" 7.25333333333333 4.88 0.0266666666666667
"30" 6.89333333333333 5.12666666666667 -2
"31" 5.82 5.13333333333333 0.0133333333333333
"32" 6.38666666666667 5.27333333333333 0.04
"33" 2.87333333333333 4.55333333333333 2.19333333333333
"34" 8.12 6.18 0.186666666666667
"35" 5.92 4.92666666666667 -0.24
"36" 4.00666666666667 2.44 0.04
"37" 5.52666666666667 3.96666666666667 0.0466666666666667
