"condAX_correct" "condAX_false" "condB_correct" "condB_false" "compAX_correct" "compAX_false" "compB_correct" "compB_false"
"1" 75 16.6666666666667 75 8.33333333333333 100 0 61.0416666666667 9.58333333333333
"2" 70.8333333333333 8.33333333333333 75 8.33333333333333 100 0 93.75 0
"3" 70.8333333333333 20.8333333333333 80 20 78.125 12.5 86.1538461538462 13.8461538461538
"4" 55.5555555555556 13.8888888888889 75 0 93.75 3.125 84.375 3.125
"5" 58.3333333333333 12.5 75 0 100 0 75 0
"6" 95.8333333333333 0 83.3333333333333 0 100 0 86.6666666666667 0
"7" 91.6666666666667 0 100 0 100 0 96.1538461538462 0
"8" 87.1212121212121 0 66.6666666666667 0 100 0 90.625 0
"9" 95.8333333333333 0 83.3333333333333 0 100 0 96.6666666666667 0
"10" 58.3333333333333 8.33333333333333 66.6666666666667 16.6666666666667 87.5 0 68.75 6.25
"11" 83.3333333333333 4.16666666666667 100 0 100 0 100 0
"12" 100 0 63.3333333333333 16.6666666666667 100 0 59.375 9.375
"13" 51.8939393939394 35.2272727272727 58.3333333333333 25 90.625 6.25 52.0833333333333 6.25
"14" 75 20.8333333333333 83.3333333333333 0 93.75 3.125 66.6666666666667 23.3333333333333
"15" 100 0 66.6666666666667 8.33333333333333 100 0 73.2142857142857 16.0714285714286
"16" 46.969696969697 22.3484848484848 50 33.3333333333333 59.375 12.5 48.974358974359 6.66666666666667
"17" 70.4545454545455 9.54545454545455 70 0 90.625 0 93.75 0
"18" 91.6666666666667 0 100 0 100 0 81.25 0
"19" 70.8333333333333 8.33333333333333 83.3333333333333 16.6666666666667 90.625 3.125 100 0
"20" 100 0 100 0 100 0 96.875 3.125
"21" 87.5 8.33333333333333 83.3333333333333 0 100 0 90.625 0
"22" 79.1666666666667 4.16666666666667 58.3333333333333 16.6666666666667 96.875 3.125 56.25 6.25
"23" 79.1666666666667 16.6666666666667 66.6666666666667 0 96.875 3.125 68.75 9.375
"24" 91.6666666666667 0 100 0 100 0 100 0
"25" 75 8.33333333333333 83.3333333333333 8.33333333333333 81.25 9.375 87.5 6.25
"26" 79.1666666666667 20.8333333333333 100 0 96.6666666666667 3.33333333333333 93.75 0
"27" 62.5 0 83.3333333333333 8.33333333333333 87.5 0 81.25 3.125
"28" 77.6515151515152 0 91.6666666666667 8.33333333333333 90.625 3.125 73.3333333333333 23.3333333333333
"29" 79.1666666666667 4.16666666666667 58.3333333333333 16.6666666666667 96.875 3.125 76.6666666666667 6.66666666666667
"30" 62.5 25 100 0 96.6666666666667 3.33333333333333 93.3333333333333 0
